name[Char];value[Float];unit[Unit.id];type[PartType.id];subtype[SubType.id];description[Char];footprint[Char];package[Char];stock[int];location[Location.id]
0R;0.0;1;1;2;SMD resistor;1206;;15;27
1R;1.0;1;1;2;SMD resistor;1206;;15;27
4,7R;4.7;1;1;2;SMD resistor;1206;;15;27
10R;10.0;1;1;2;SMD resistor;1206;;15;27
22R;22.0;1;1;2;SMD resistor;1206;;15;27
39R;39.0;1;1;2;SMD resistor;1206;;15;27
47R;47.0;1;1;2;SMD resistor;1206;;15;27
68R;68.0;1;1;2;SMD resistor;1206;;15;27
75R;75.0;1;1;2;SMD resistor;1206;;15;27
100R;100.0;1;1;2;SMD resistor;1206;;15;27
120R;120.0;1;1;2;SMD resistor;1206;;15;27
150R;150.0;1;1;2;SMD resistor;1206;;15;27
220R;220.0;1;1;2;SMD resistor;1206;;15;27
330R;330.0;1;1;2;SMD resistor;1206;;15;27
470R;470.0;1;1;2;SMD resistor;1206;;15;27
680R;680.0;1;1;2;SMD resistor;1206;;15;27
1k;1.0;2;1;2;SMD resistor;1206;;15;27
1,5k;1.5;2;1;2;SMD resistor;1206;;15;27
1,8k;1.8;2;1;2;SMD resistor;1206;;15;27
2,2k;2.2;2;1;2;SMD resistor;1206;;15;27
3,3k;3.3;2;1;2;SMD resistor;1206;;15;27
3,9k;3.9;2;1;2;SMD resistor;1206;;15;27
4,7k;4.7;2;1;2;SMD resistor;1206;;15;27
5,6k;5.6;2;1;2;SMD resistor;1206;;15;27
6,8k;6.8;2;1;2;SMD resistor;1206;;15;27
8,2k;8.2;2;1;2;SMD resistor;1206;;15;27
10k;10.0;2;1;2;SMD resistor;1206;;15;27
12k;12.0;2;1;2;SMD resistor;1206;;15;27
22k;22.0;2;1;2;SMD resistor;1206;;15;27
33k;33.0;2;1;2;SMD resistor;1206;;15;27
39k;39.0;2;1;2;SMD resistor;1206;;15;27
47k;47.0;2;1;2;SMD resistor;1206;;15;27
56k;56.0;2;1;2;SMD resistor;1206;;15;27
68k;68.0;2;1;2;SMD resistor;1206;;15;27
100k;100.0;2;1;2;SMD resistor;1206;;15;27
120k;120.0;2;1;2;SMD resistor;1206;;15;27
150k;150.0;2;1;2;SMD resistor;1206;;15;27
180k;180.0;2;1;2;SMD resistor;1206;;15;27
220k;220.0;2;1;2;SMD resistor;1206;;15;27
270k;270.0;2;1;2;SMD resistor;1206;;15;27
330k;330.0;2;1;2;SMD resistor;1206;;15;27
390k;390.0;2;1;2;SMD resistor;1206;;15;27
470k;470.0;2;1;2;SMD resistor;1206;;15;27
560k;560.0;2;1;2;SMD resistor;1206;;15;27
680k;680.0;2;1;2;SMD resistor;1206;;15;27
1M;1.0;3;1;2;SMD resistor;1206;;15;27
2,2M;2.2;3;1;2;SMD resistor;1206;;15;27
3,3M;3.3;3;1;2;SMD resistor;1206;;15;27
4,7M;4.7;3;1;2;SMD resistor;1206;;15;27
10M;10.0;3;1;2;SMD resistor;1206;;15;27
2,2pF;2.2;4;3;2;SMD capacitor;1206;;10;27
3,3pF;3.3;4;3;2;SMD capacitor;1206;;10;27
4,7pF;4.7;4;3;2;SMD capacitor;1206;;10;27
6,8pF;6.8;4;3;2;SMD capacitor;1206;;10;27
8pF;8.0;4;3;2;SMD capacitor;1206;;10;27
10pF;10.0;4;3;2;SMD capacitor;1206;;10;27
12pF;12.0;4;3;2;SMD capacitor;1206;;10;27
15pF;15.0;4;3;2;SMD capacitor;1206;;10;27
22pF;22.0;4;3;2;SMD capacitor;1206;;10;27
33pF;33.0;4;3;2;SMD capacitor;1206;;10;27
47pF;47.0;4;3;2;SMD capacitor;1206;;10;27
68pF;68.0;4;3;2;SMD capacitor;1206;;10;27
100pF;100.0;4;3;2;SMD capacitor;1206;;10;27
150pF;150.0;4;3;2;SMD capacitor;1206;;10;27
200pF;200.0;4;3;2;SMD capacitor;1206;;10;27
220pF;220.0;4;3;2;SMD capacitor;1206;;10;27
330pF;330.0;4;3;2;SMD capacitor;1206;;10;27
470pF;470.0;4;3;2;SMD capacitor;1206;;10;27
560pF;560.0;4;3;2;SMD capacitor;1206;;10;27
680pF;680.0;4;3;2;SMD capacitor;1206;;10;27
820pF;820.0;4;3;2;SMD capacitor;1206;;10;27
1nF;1.0;5;3;2;SMD capacitor;1206;;10;27
1,2nF;1.2;5;3;2;SMD capacitor;1206;;10;27
1,5nF;1.5;5;3;2;SMD capacitor;1206;;10;27
1,8nF;1.8;5;3;2;SMD capacitor;1206;;10;27
2,2nF;2.2;5;3;2;SMD capacitor;1206;;10;27
2,7nF;2.7;5;3;2;SMD capacitor;1206;;10;27
3,3nF;3.3;5;3;2;SMD capacitor;1206;;10;27
3,9nF;3.9;5;3;2;SMD capacitor;1206;;10;27
4,7nF;4.7;5;3;2;SMD capacitor;1206;;10;27
5,6nF;5.6;5;3;2;SMD capacitor;1206;;10;27
6,8nF;6.8;5;3;2;SMD capacitor;1206;;10;27
10nF;10.0;5;3;2;SMD capacitor;1206;;10;27
15nF;15.0;5;3;2;SMD capacitor;1206;;10;27
22nF;22.0;5;3;2;SMD capacitor;1206;;10;27
33nF;33.0;5;3;2;SMD capacitor;1206;;10;27
47nF;47.0;5;3;2;SMD capacitor;1206;;10;27
68nF;68.0;5;3;2;SMD capacitor;1206;;10;27
100nF;100.0;5;3;2;SMD capacitor;1206;;10;27
1uF;1.0;6;3;2;SMD capacitor;1206;;10;27
